State,Facility Name,Facility ID (ORISPL),Unit ID,Caveat
AL,Plant H. Allen Franklin,7710,NA,Facility name change from Goat Rock CC on 09/11/2002
MS,"BTEC Southaven, LLC",55219,NA,Facility name change from Duke Energy Southaven on 10/25/2004
MS,"BTEC Southaven, LLC",55219,NA,"Facility name change from Duke Energy Southaven, LLC on 02/11/2002"
MS,"BTEC Southaven, LLC",55219,NA,"Facility name change from Duke Energy Southaven, Llc on 12/13/2001"
MS,"BTEC Southaven, LLC",55219,NA,Facility name change from KGen Southaven LLC on 10/04/2006
CA,Coolwater Generating Station,329,NA,Facility name change from Alta (Cool Water) on 07/19/2002
GA,MPC Generating,7764,NA,Facility name change from Monroe Power Plant on 02/11/2002
GA,Dahlberg (Jackson County),7765,NA,Facility name change from Jackson County Combustion Turbine on 12/13/2001
TX,Twin Oaks,7030,NA,Facility name change from Tnp One on 07/15/2002
TX,Twin Oaks,7030,NA,Facility name change from TNP One on 01/07/2003
GA,Washington County Power,55332,NA,Facility name change from Tiger Creek Power Facility on 04/23/2002
CA,Donald Von Raesfeld,56026,NA,Facility name change from Pico Power Plant on 02/03/2005
AZ,Desert Basin Generating Station,55129,NA,Facility name change from Reliant Energy Desert Basin on 10/27/2003
AZ,Desert Basin Generating Station,55129,NA,Facility name change from Desert Basin - Reliant Energy on 07/15/2002
MS,KGen Enterprise Facility,55373,NA,"Facility name change from KGen Enterprise, LLC on 10/25/2004"
MS,KGen Enterprise Facility,55373,NA,"Facility name change from Duke Energy Enterprise, LLC on 10/25/2004"
MS,KGen Enterprise Facility,55373,NA,"Facility name change from Duke Energy Enterprise, LLC on 02/11/2002"
MS,KGen Enterprise Facility,55373,NA,"Facility name change from Duke Energy Enterprise, Llc on 12/13/2001"
MS,KGen Enterprise Facility,55373,NA,Facility name change from Duke Energy Enterprise on 09/19/2002
MS,KGen Enterprise Facility,55373,NA,Facility name change from KGen Enterprise LLC on 06/21/2006
AR,Dell Power Plant,55340,NA,"Facility name change from TPS - Dell, LLC on 02/11/2002"
AR,Dell Power Plant,55340,NA,"Facility name change from Genpower - Dell, Llc on 12/13/2001"
AR,Dell Power Plant,55340,NA,Facility name change from TPS - Dell on 05/11/2006
TX,Odessa Ector Generating Station,55215,NA,Facility name change from Permian Generating Station on 02/11/2002
TX,Wolf Hollow Generating Station,55139,NA,Facility name change from AES Wolf Hollow on 01/18/2005
OH,Omega JV2 Bowling Green,7783,NA,Facility name change from Amp-ohio Bowling Green on 12/13/2001
CA,"Dynegy South Bay, LLC",310,NA,"Facility name change from Duke Energy South Bay Power Plant, LLC on 05/18/2006"
AR,Hot Spring  Energy Facility,55418,NA,Facility name change from Hot Spring Energy Facility on 10/25/2004
AR,Hot Spring  Energy Facility,55418,NA,Facility name change from Duke Energy Hot Spring LLC on 11/03/2003
TX,Forney Power Plant,55480,NA,Facility name change from Forney Power Plant on 08/03/2005
TX,Oak Grove,6180,NA,Facility name change from Twin Oak on 03/22/2007
NY,"Castleton Power, LLC",10190,NA,Facility name change from Transcanada Power Castleton on 01/15/2002
NY,"Castleton Power, LLC",10190,NA,Facility name change from Castleton on 10/06/2005
